dataset,epoch,question_type,question_class_size,model,loss_function,train_loss,train_acc,test_acc
Cifar10,251,Which_one,1,MLP,MAE_LOSS,1.279037715,0.33116,0.3231
Cifar10,252,Which_one,1,MLP,MAE_LOSS,1.203286421,0.36586,0.3623
Cifar10,253,Which_one,1,MLP,MAE_LOSS,1.160129597,0.3549,0.3489
Cifar10,254,Which_one,1,MLP,MAE_LOSS,1.187255331,0.35434,0.3493
Cifar10,255,Which_one,1,MLP,MAE_LOSS,1.186966535,0.35684,0.3541
Cifar10,256,Which_one,1,MLP,MAE_LOSS,1.166329326,0.34468,0.3375
Cifar10,257,Which_one,1,MLP,MAE_LOSS,1.182876198,0.36528,0.3601
Cifar10,258,Which_one,1,MLP,MAE_LOSS,1.176392892,0.35692,0.3519
Cifar10,259,Which_one,1,MLP,MAE_LOSS,1.226931495,0.32778,0.3197
Cifar10,260,Which_one,1,MLP,MAE_LOSS,1.232960386,0.3443,0.3415
Cifar10,261,Which_one,1,MLP,MAE_LOSS,1.198909599,0.35378,0.3459
Cifar10,262,Which_one,1,MLP,MAE_LOSS,1.200623148,0.355,0.3528
Cifar10,263,Which_one,1,MLP,MAE_LOSS,1.211925539,0.33972,0.3346
Cifar10,264,Which_one,1,MLP,MAE_LOSS,1.17845962,0.3699,0.3694
Cifar10,265,Which_one,1,MLP,MAE_LOSS,1.177307648,0.36534,0.3576
Cifar10,266,Which_one,1,MLP,MAE_LOSS,1.139192748,0.35696,0.3498
Cifar10,267,Which_one,1,MLP,MAE_LOSS,1.140836381,0.34796,0.3425
Cifar10,268,Which_one,1,MLP,MAE_LOSS,1.156280153,0.35908,0.3613
Cifar10,269,Which_one,1,MLP,MAE_LOSS,1.12426579,0.36028,0.3563
Cifar10,270,Which_one,1,MLP,MAE_LOSS,1.138959338,0.36396,0.3549
Cifar10,271,Which_one,1,MLP,MAE_LOSS,1.12965928,0.34784,0.3423
Cifar10,272,Which_one,1,MLP,MAE_LOSS,1.188170027,0.34246,0.3352
Cifar10,273,Which_one,1,MLP,MAE_LOSS,1.15336383,0.36444,0.3578
Cifar10,274,Which_one,1,MLP,MAE_LOSS,1.136786833,0.36302,0.3577
Cifar10,275,Which_one,1,MLP,MAE_LOSS,1.190202598,0.35076,0.3451
Cifar10,276,Which_one,1,MLP,MAE_LOSS,1.173864131,0.35678,0.3556
Cifar10,277,Which_one,1,MLP,MAE_LOSS,1.16682014,0.37064,0.3674
Cifar10,278,Which_one,1,MLP,MAE_LOSS,1.157267236,0.36028,0.3488
