dataset,epoch,question_type,question_class_size,model,loss_function,train_loss,train_acc,test_acc,label_size_i,label_size_comp,label_size_cand
MNIST,159,Which_one,1,MLP,MAE_LOSS,-0.339424442499876,0.9243,0.9162,1049.0,8951.0,
MNIST,160,Which_one,1,MLP,MAE_LOSS,-0.3738547205924988,0.9243,0.917,1049.0,8951.0,
MNIST,161,Which_one,1,MLP,MAE_LOSS,-0.3118000149726868,0.9242,0.9171,1049.0,8951.0,
MNIST,162,Which_one,1,MLP,MAE_LOSS,-0.3944955885410309,0.9241,0.9175,1049.0,8951.0,
MNIST,163,Which_one,1,MLP,MAE_LOSS,-0.3315624207258224,0.9237,0.9167,1049.0,8951.0,
MNIST,164,Which_one,1,MLP,MAE_LOSS,-0.35308488830924034,0.9239,0.9169,1049.0,8951.0,
MNIST,165,Which_one,1,MLP,MAE_LOSS,-0.3521971844136715,0.9238,0.9175,1049.0,8951.0,
MNIST,166,Which_one,1,MLP,MAE_LOSS,-0.36594547927379606,0.9238,0.9172,1049.0,8951.0,
MNIST,167,Which_one,1,MLP,MAE_LOSS,-0.40124118626117705,0.9237,0.9171,1049.0,8951.0,
MNIST,168,Which_one,1,MLP,MAE_LOSS,-0.4563738688826561,0.9244,0.9174,1049.0,8951.0,
MNIST,169,Which_one,1,MLP,MAE_LOSS,-0.36674709841609,0.9242,0.9171,1049.0,8951.0,
MNIST,170,Which_one,1,MLP,MAE_LOSS,-0.44279428049921987,0.9239,0.9195,1049.0,8951.0,
MNIST,171,Which_one,1,MLP,MAE_LOSS,-0.38691096305847167,0.9242,0.918,1049.0,8951.0,
MNIST,172,Which_one,1,MLP,MAE_LOSS,-0.3950152799487114,0.9239,0.9174,1049.0,8951.0,
MNIST,173,Which_one,1,MLP,MAE_LOSS,-0.3744355358183384,0.9238,0.9196,1049.0,8951.0,
MNIST,174,Which_one,1,MLP,MAE_LOSS,-0.3192978844046593,0.9233,0.9167,1049.0,8951.0,
MNIST,175,Which_one,1,MLP,MAE_LOSS,-0.38733990043401717,0.9242,0.9185,1049.0,8951.0,
MNIST,176,Which_one,1,MLP,MAE_LOSS,-0.4157773919403553,0.924,0.9182,1049.0,8951.0,
MNIST,177,Which_one,1,MLP,MAE_LOSS,-0.42178020626306534,0.9237,0.9183,1049.0,8951.0,
MNIST,178,Which_one,1,MLP,MAE_LOSS,-0.3941712029278278,0.9246,0.9192,1049.0,8951.0,
MNIST,179,Which_one,1,MLP,MAE_LOSS,-0.34672354273498057,0.9243,0.9185,1049.0,8951.0,
MNIST,180,Which_one,1,MLP,MAE_LOSS,-0.326010861992836,0.9246,0.9193,1049.0,8951.0,
MNIST,181,Which_one,1,MLP,MAE_LOSS,-0.34673819616436957,0.9237,0.917,1049.0,8951.0,
MNIST,182,Which_one,1,MLP,MAE_LOSS,-0.3682588703930378,0.9249,0.919,1049.0,8951.0,
MNIST,183,Which_one,1,MLP,MAE_LOSS,-0.36049477234482763,0.9235,0.9188,1049.0,8951.0,
MNIST,184,Which_one,1,MLP,MAE_LOSS,-0.37517101094126704,0.9243,0.9192,1049.0,8951.0,
MNIST,185,Which_one,1,MLP,MAE_LOSS,-0.3872318141162395,0.9245,0.9194,1049.0,8951.0,
MNIST,186,Which_one,1,MLP,MAE_LOSS,-0.36821515783667563,0.9236,0.9184,1049.0,8951.0,
MNIST,187,Which_one,1,MLP,MAE_LOSS,-0.3742466226220131,0.9234,0.9187,1049.0,8951.0,
MNIST,188,Which_one,1,MLP,MAE_LOSS,-0.34750854298472406,0.9237,0.919,1049.0,8951.0,
MNIST,189,Which_one,1,MLP,MAE_LOSS,-0.29923129826784134,0.9239,0.9192,1049.0,8951.0,
MNIST,190,Which_one,1,MLP,MAE_LOSS,-0.4094618454575539,0.9237,0.9194,1049.0,8951.0,
MNIST,191,Which_one,1,MLP,MAE_LOSS,-0.3810021601617336,0.9243,0.9188,1049.0,8951.0,
MNIST,192,Which_one,1,MLP,MAE_LOSS,-0.40174710750579834,0.9236,0.9192,1049.0,8951.0,
MNIST,193,Which_one,1,MLP,MAE_LOSS,-0.3603571865707636,0.9243,0.9188,1049.0,8951.0,
MNIST,194,Which_one,1,MLP,MAE_LOSS,-0.367237102240324,0.9251,0.9192,1049.0,8951.0,
MNIST,195,Which_one,1,MLP,MAE_LOSS,-0.45075206086039543,0.9247,0.9192,1049.0,8951.0,
MNIST,196,Which_one,1,MLP,MAE_LOSS,-0.3671933993697166,0.924,0.9194,1049.0,8951.0,
MNIST,197,Which_one,1,MLP,MAE_LOSS,-0.3404887765645981,0.9243,0.9184,1049.0,8951.0,
MNIST,198,Which_one,1,MLP,MAE_LOSS,-0.3869988039135933,0.9244,0.92,1049.0,8951.0,
MNIST,199,Which_one,1,MLP,MAE_LOSS,-0.3672480687499046,0.9246,0.9182,1049.0,8951.0,
MNIST,200,Which_one,1,MLP,MAE_LOSS,-0.3465273231267929,0.9241,0.9193,1049.0,8951.0,
MNIST,201,Which_one,1,MLP,MAE_LOSS,-0.4438313484191895,0.9238,0.9198,1049.0,8951.0,
MNIST,202,Which_one,1,MLP,MAE_LOSS,-0.38783289939165116,0.9249,0.92,1049.0,8951.0,
MNIST,203,Which_one,1,MLP,MAE_LOSS,-0.3818278208374977,0.9233,0.9191,1049.0,8951.0,
MNIST,204,Which_one,1,MLP,MAE_LOSS,-0.38788652047514915,0.9242,0.919,1049.0,8951.0,
MNIST,205,Which_one,1,MLP,MAE_LOSS,-0.34045549407601355,0.9238,0.919,1049.0,8951.0,
MNIST,206,Which_one,1,MLP,MAE_LOSS,-0.3817386835813522,0.9242,0.9185,1049.0,8951.0,
MNIST,207,Which_one,1,MLP,MAE_LOSS,-0.39551772475242614,0.925,0.9193,1049.0,8951.0,
MNIST,208,Which_one,1,MLP,MAE_LOSS,-0.3472940593957901,0.9239,0.9193,1049.0,8951.0,
MNIST,209,Which_one,1,MLP,MAE_LOSS,-0.436100161075592,0.924,0.9191,1049.0,8951.0,
MNIST,210,Which_one,1,MLP,MAE_LOSS,-0.3878031112253666,0.9243,0.92,1049.0,8951.0,
MNIST,211,Which_one,1,MLP,MAE_LOSS,-0.4151846721768379,0.9251,0.9183,1049.0,8951.0,
MNIST,212,Which_one,1,MLP,MAE_LOSS,-0.31269535720348357,0.9239,0.9182,1049.0,8951.0,
MNIST,213,Which_one,1,MLP,MAE_LOSS,-0.42321979627013206,0.9244,0.9187,1049.0,8951.0,
MNIST,214,Which_one,1,MLP,MAE_LOSS,-0.3474437803030014,0.9242,0.9194,1049.0,8951.0,
MNIST,215,Which_one,1,MLP,MAE_LOSS,-0.42418120354413985,0.9238,0.9181,1049.0,8951.0,
MNIST,216,Which_one,1,MLP,MAE_LOSS,-0.3337507426738739,0.9246,0.9195,1049.0,8951.0,
MNIST,217,Which_one,1,MLP,MAE_LOSS,-0.3415257930755615,0.9244,0.9194,1049.0,8951.0,
MNIST,218,Which_one,1,MLP,MAE_LOSS,-0.39666020348668096,0.925,0.9193,1049.0,8951.0,
MNIST,219,Which_one,1,MLP,MAE_LOSS,-0.36904215440154076,0.9249,0.9185,1049.0,8951.0,
MNIST,220,Which_one,1,MLP,MAE_LOSS,-0.3690005175769329,0.9248,0.9207,1049.0,8951.0,
MNIST,221,Which_one,1,MLP,MAE_LOSS,-0.36211596727371215,0.9248,0.92,1049.0,8951.0,
MNIST,222,Which_one,1,MLP,MAE_LOSS,-0.3957161925733089,0.9242,0.9196,1049.0,8951.0,
MNIST,223,Which_one,1,MLP,MAE_LOSS,-0.3473847724497318,0.9239,0.9191,1049.0,8951.0,
MNIST,224,Which_one,1,MLP,MAE_LOSS,-0.3620888000354171,0.9246,0.9195,1049.0,8951.0,
MNIST,225,Which_one,1,MLP,MAE_LOSS,-0.4103835493326187,0.9239,0.919,1049.0,8951.0,
MNIST,226,Which_one,1,MLP,MAE_LOSS,-0.33453657776117324,0.9248,0.9198,1049.0,8951.0,
MNIST,227,Which_one,1,MLP,MAE_LOSS,-0.3620238654315472,0.925,0.9203,1049.0,8951.0,
MNIST,228,Which_one,1,MLP,MAE_LOSS,-0.38965997844934464,0.9254,0.9202,1049.0,8951.0,
MNIST,229,Which_one,1,MLP,MAE_LOSS,-0.3904669746756554,0.9252,0.9213,1049.0,8951.0,
MNIST,230,Which_one,1,MLP,MAE_LOSS,-0.3837355010211468,0.9254,0.9206,1049.0,8951.0,
MNIST,231,Which_one,1,MLP,MAE_LOSS,-0.417440041154623,0.9251,0.9208,1049.0,8951.0,
MNIST,232,Which_one,1,MLP,MAE_LOSS,-0.383789686858654,0.9248,0.9202,1049.0,8951.0,
MNIST,233,Which_one,1,MLP,MAE_LOSS,-0.3424114346504211,0.9248,0.9204,1049.0,8951.0,
MNIST,234,Which_one,1,MLP,MAE_LOSS,-0.36997450366616247,0.9249,0.9203,1049.0,8951.0,
MNIST,235,Which_one,1,MLP,MAE_LOSS,-0.41830422803759576,0.9251,0.9216,1049.0,8951.0,
MNIST,236,Which_one,1,MLP,MAE_LOSS,-0.43718683943152425,0.9245,0.919,1049.0,8951.0,
MNIST,237,Which_one,1,MLP,MAE_LOSS,-0.314810411632061,0.9251,0.9194,1049.0,8951.0,
MNIST,238,Which_one,1,MLP,MAE_LOSS,-0.36308079659938813,0.9251,0.9201,1049.0,8951.0,
